Date,Open,High,Low,Close,Volume
1995-01-03,2.7977,2.7977,2.7329,2.7412,54347324
1995-01-04,2.7412,2.7655,2.7088,2.7574,70929018
1995-01-05,2.7655,2.7736,2.7007,2.7088,54729928
1995-01-06,2.7249,2.7814,2.717,2.7574,64154292
1995-01-09,2.7655,2.7736,2.717,2.7412,63217567
1995-01-10,2.7574,2.7977,2.7495,2.7736,57973260
1995-01-11,2.7814,2.806,2.7655,2.79,43306788
1995-01-12,2.7814,2.8224,2.7736,2.7814,37101566
1995-01-13,2.8224,2.8629,2.8142,2.8547,56768278
1995-01-16,2.8787,2.9356,2.8629,2.9195,102588382
1995-01-17,2.9441,2.9601,2.9279,2.9356,101605484
1995-01-18,2.9518,2.9682,2.9195,2.9601,69407394
1995-01-19,2.9356,2.9601,2.8872,2.8872,92227286
1995-01-20,2.8629,2.8872,2.7814,2.806,113226519
1995-01-23,2.7736,2.8629,2.7495,2.8547,73996443
1995-01-24,2.8629,2.8711,2.8224,2.8224,50490501
1995-01-25,2.806,2.8306,2.7736,2.806,72094420
1995-01-26,2.7655,2.7736,2.717,2.7249,111093608
1995-01-27,2.7329,2.7412,2.717,2.7249,80225844
1995-01-30,2.7329,2.7329,2.6767,2.6843,75812712
1995-01-31,2.6924,2.717,2.652,2.7007,82382941
1995-02-01,2.7007,2.7655,2.6843,2.6924,91673179
1995-02-02,2.6681,2.7007,2.652,2.6843,63646348
1995-02-03,2.7088,2.7495,2.6924,2.7329,82915061
1995-02-06,2.7329,2.7814,2.7329,2.7655,66441118
1995-02-07,2.7655,2.7814,2.7574,2.7736,45560631
1995-02-08,2.7814,2.8224,2.7736,2.8142,67547147
1995-02-09,2.8224,2.8384,2.806,2.8142,58267911
1995-02-10,2.8224,2.8466,2.7977,2.8224,68525652
1995-02-13,2.8224,2.8547,2.806,2.8224,52443093
1995-02-14,2.8224,2.8306,2.7977,2.8142,42770260
1995-02-15,2.7329,2.79,2.7088,2.7655,202023561
1995-02-16,2.7655,2.7814,2.7412,2.7655,77982997
1995-02-17,2.7655,2.7655,2.7412,2.7495,51981334
1995-02-21,2.7495,2.7655,2.7088,2.717,76124950
1995-02-22,2.717,2.8224,2.7088,2.7977,83697871
1995-02-23,2.7814,2.8224,2.7736,2.806,82374144
1995-02-24,2.79,2.8142,2.7814,2.7814,46970107
1995-02-27,2.79,2.8224,2.7814,2.806,39293841
1995-02-28,2.8142,2.8787,2.806,2.8629,72210961
1995-03-01,2.8711,2.9116,2.8547,2.8787,71507324
1995-03-02,2.8787,2.8951,2.8711,2.8951,35784442
1995-03-03,2.8951,2.9033,2.8711,2.8951,43669601
1995-03-06,2.8787,2.9279,2.8629,2.9279,62058768
1995-03-07,2.9279,3.0008,2.9195,2.9682,126092123
