MCSFOpen,MCSFHigh,MCSFLow,MCSFClose,MCSFVolume
2.7977,2.7977,2.7329,2.7412,54347324.0
2.7412,2.7655,2.7088,2.7574,70929018.0
2.7655,2.7736,2.7007,2.7088,54729928.0
2.7249,2.7814,2.717,2.7574,64154292.0
2.7655,2.7736,2.717,2.7412,63217567.0
2.7574,2.7977,2.7495,2.7736,57973260.0
2.7814,2.806,2.7655,2.79,43306788.0
2.7814,2.8224,2.7736,2.7814,37101566.0
2.8224,2.8629,2.8142,2.8547,56768278.0
2.8787,2.9356,2.8629,2.9195,102588382.0
2.9441,2.9601,2.9279,2.9356,101605484.0
2.9518,2.9682,2.9195,2.9601,69407394.0
2.9356,2.9601,2.8872,2.8872,92227286.0
2.8629,2.8872,2.7814,2.806,113226519.0
2.7736,2.8629,2.7495,2.8547,73996443.0
2.8629,2.8711,2.8224,2.8224,50490501.0
2.806,2.8306,2.7736,2.806,72094420.0
2.7655,2.7736,2.717,2.7249,111093608.0
2.7329,2.7412,2.717,2.7249,80225844.0
2.7329,2.7814,2.7329,2.7655,66441118.0
2.7655,2.7814,2.7574,2.7736,45560631.0
2.7814,2.8224,2.7736,2.8142,67547147.0
2.8224,2.8384,2.806,2.8142,58267911.0
2.8224,2.8466,2.7977,2.8224,68525652.0
2.8224,2.8547,2.806,2.8224,52443093.0
2.8224,2.8306,2.7977,2.8142,42770260.0
2.7329,2.79,2.7088,2.7655,202023561.0
2.7655,2.7814,2.7412,2.7655,77982997.0
2.7655,2.7655,2.7412,2.7495,51981334.0
2.7495,2.7655,2.7088,2.717,76124950.0
2.717,2.8224,2.7088,2.7977,83697871.0
2.7814,2.8224,2.7736,2.806,82374144.0
2.79,2.8142,2.7814,2.7814,46970107.0
2.79,2.8224,2.7814,2.806,39293841.0
2.8142,2.8787,2.806,2.8629,72210961.0
2.8711,2.9116,2.8547,2.8787,71507324.0
2.8787,2.8951,2.8711,2.8951,35784442.0
2.8951,2.9033,2.8711,2.8951,43669601.0
2.8787,2.9279,2.8629,2.9279,62058768.0
2.9279,3.0008,2.9195,2.9682,126092123.0
2.9923,3.1224,2.9923,3.1141,192533243.0
3.1141,3.1305,3.0412,3.0897,80036743.0
3.0897,3.1305,3.0252,3.1141,60915354.0
3.1224,3.1709,3.1063,3.1383,47482445.0
3.1549,3.2764,3.1466,3.26,108078959.0
3.26,3.2683,3.2035,3.2035,78739415.0
3.1871,3.2035,3.1631,3.1871,65293307.0
3.2035,3.26,3.1791,3.1791,82277394.0
3.1871,3.2521,3.1871,3.2358,51910974.0
3.2439999999999998,3.2521,3.2035,3.2035,102759884.0
3.2035,3.2276,3.1791,3.2276,72101013.0
3.2439999999999998,3.3333,3.2439999999999998,3.3089999999999997,144694578.0
3.3333,3.3737,3.325,3.3575,90268097.0
3.3089999999999997,3.3575,3.3006,3.3169,83842995.0
3.3169,3.3656,3.3169,3.3493,65420838.0
3.3493,3.3656,3.2764,3.2845,90378034.0
3.3006,3.3089999999999997,3.2035,3.2764,103087523.0
3.26,3.2764,3.2035,3.2358,86690533.0
3.2276,3.2439999999999998,3.1631,3.1871,90177940.0
3.1953,3.2521,3.1709,3.1791,91651181.0
3.1791,3.2116,3.1305,3.2116,90417617.0
3.2116,3.2197,3.1549,3.1871,48669832.0
3.1953,3.2197,3.1631,3.1631,59299181.0
3.1631,3.2439999999999998,3.1549,3.2276,59327763.0
3.26,3.2845,3.2358,3.2764,59952246.0
3.2764,3.3333,3.2197,3.26,55563296.0
3.26,3.3006,3.2358,3.3006,45096663.0
3.4308,3.5519,3.4308,3.5197,258248728.0
3.5197,3.5278,3.4549,3.4872,103909898.0
3.4872,3.5036,3.4308,3.463,81307692.0
3.4789999999999996,3.4953,3.3656,3.4222,115322042.0
3.4385,3.4468,3.4062,3.4144,73600644.0
3.4308,3.536,3.4144,3.536,93575199.0
3.5278,3.6414,3.5278,3.6414,95336494.0
3.6251,3.6495,3.6008,3.6251,60888968.0
3.6251,3.6575,3.471,3.5761,177070779.0
3.5849,3.7388,3.5761,3.7144,126578064.0
3.7388,3.7388,3.6169,3.6169,107331339.0
3.6495,3.6819,3.6495,3.6819,84610390.0
3.7061,3.7874,3.6819,3.7061,91424704.0
3.6984,3.7144,3.6331,3.6414,60066592.0
3.6331,3.6575,3.6008,3.6331,60453588.0
3.6414,3.6575,3.6008,3.6331,50503691.0
3.6414,3.6575,3.5849,3.6008,53168728.0
3.6008,3.7061,3.5924,3.6984,53148939.0
3.6984,3.7388,3.6575,3.6741,49738482.0
3.6657,3.7305,3.6331,3.6984,48419164.0
3.7061,3.8684,3.7061,3.8603,119163475.0
3.8768,3.9494,3.8684,3.909,91411504.0
3.8925,3.9413,3.8524,3.8524,80157679.0
3.8279,3.8848,3.8197,3.8848,62104939.0
3.8848,3.9818,3.8197,3.9657,125586382.0
3.9818,4.0224,3.909,4.0224,76296463.0
4.055,4.0711,3.9576,3.9818,94393183.0
3.9982,4.063,3.9657,4.055,59699373.0
4.055,4.055,3.9576,3.9818,72747482.0
3.9982,4.0224,3.7546,3.7709,136897370.0
3.7874,3.8524,3.6819,3.8524,164581176.0
3.8684,3.8925,3.8116,3.8279,84043083.0
3.8116,3.8279,3.7546,3.779,76351435.0
3.7546,3.8848,3.7144,3.8524,76758222.0
3.8603,3.909,3.779,3.779,67391033.0
3.7709,3.8524,3.7388,3.8197,88766266.0
3.8279,3.8524,3.8034,3.8279,40294331.0
3.8116,3.909,3.7546,3.8603,111612542.0
3.8524,3.8524,3.7874,3.8116,62986693.0
3.8279,3.8524,3.7954,3.8116,51798826.0
3.7954,3.8279,3.7635,3.8116,59226618.0
3.8197,3.8684,3.8116,3.8603,60348044.0
3.8684,3.9818,3.8603,3.9576,126817746.0
3.9657,4.0872,3.9494,4.0872,108545128.0
4.1114,4.1522,4.0794,4.1522,77881844.0
4.1766,4.2009,4.0956,4.12,78642658.0
4.12,4.1848,4.12,4.1766,63624362.0
4.1281,4.1928,4.1039,4.1444,63707917.0
4.1358,4.1444,4.0711,4.0794,56412062.0
4.0711,4.12,3.9413,3.9494,90710071.0
3.9413,4.0468,3.8603,3.9982,147443172.0
3.9982,4.0794,3.9982,4.063,79218764.0
4.0794,4.1358,4.0794,4.1114,73308193.0
4.1686,4.1848,4.1114,4.1281,66718177.0
4.12,4.2336,4.1114,4.2174,64688619.0
4.225,4.3469,4.2174,4.3469,91664379.0
4.3632,4.5337,4.3553,4.4927,153896855.0
4.5009,4.5091,4.3875,4.3875,107507251.0
4.4037,4.5496,4.4037,4.5415,130111660.0
4.5496,4.6146,4.4604,4.5496,116555610.0
4.4684,4.7117,4.4604,4.7117,123556824.0
4.8986,4.9713,4.8414,4.9552,214156947.0
4.8658,4.8742,4.6066,4.6308,398028807.0
4.4118,4.4927,4.0224,4.2983,419287500.0
4.3307,4.4281,4.2739,4.3712,244415618.0
4.2739,4.3632,4.1766,4.1848,232609871.0
4.209,4.2657,4.1928,4.2578,130298558.0
4.3469,4.4361,4.3225,4.3793,150378658.0
4.4361,4.4604,4.3142,4.3632,106467190.0
4.3875,4.4361,4.3793,4.3875,72723294.0
4.3632,4.3632,4.1848,4.209,217782890.0
4.2336,4.2495,4.0956,4.12,139401891.0
4.1281,4.1358,3.9982,4.0711,228330874.0
4.1358,4.209,3.9982,4.0468,178390091.0
3.9982,4.1522,3.9818,4.1444,156031961.0
4.1522,4.2657,4.1522,4.2657,106790422.0
4.2983,4.3469,4.1766,4.2578,88330887.0
4.2821,4.3142,4.2495,4.2495,60350243.0
4.4442,4.4604,4.3632,4.3875,198426223.0
4.4118,4.42,4.2657,4.2821,98788724.0
4.3064,4.3956,4.1928,4.3875,133574881.0
4.4037,4.5173,4.3553,4.4927,122136348.0
4.5173,4.5173,4.4037,4.4768,86947801.0
4.4768,4.4927,4.42,4.4927,52385928.0
4.4927,4.5822,4.4847,4.5091,102474029.0
4.5337,4.5337,4.4118,4.42,106511163.0
4.4361,4.4684,4.29,4.2983,151847515.0
4.3225,4.5173,4.29,4.5173,129623505.0
4.5496,4.5741,4.4361,4.4526,152806215.0
4.4604,4.4604,4.3469,4.3712,130936231.0
4.3793,4.4037,4.29,4.29,100996393.0
4.29,4.29,4.0872,4.0956,154776400.0
4.0956,4.1766,3.9576,4.1766,225287626.0
4.225,4.2657,4.16,4.2415,109255356.0
4.2495,4.2739,4.16,4.209,53274268.0
4.1766,4.1848,4.063,4.0794,110304219.0
4.1358,4.3225,4.1039,4.3225,126507703.0
4.3307,4.3875,4.2336,4.2495,137794514.0
4.29,4.3956,4.2415,4.3064,129091380.0
4.2657,4.3469,4.2415,4.3469,88528788.0
4.3387,4.4526,4.3225,4.4361,106381430.0
4.4442,4.4442,4.3469,4.3793,97788240.0
4.3712,4.4118,4.3225,4.3712,84117849.0
4.3712,4.3875,4.3064,4.3142,74528567.0
4.3064,4.3387,4.209,4.2495,121373341.0
4.2415,4.2495,4.1358,4.1848,105583235.0
4.1848,4.2983,4.16,4.2415,79724503.0
4.2495,4.3064,4.209,4.2336,61366119.0
4.1522,4.2336,4.12,4.12,115216498.0
4.0872,4.1281,4.0468,4.0794,137290977.0
4.12,4.12,4.0224,4.1039,79541998.0
4.1114,4.1766,4.0061,4.0148,105200631.0
3.9982,4.0389,3.7954,4.0307,193441368.0
4.0468,4.16,4.0389,4.16,145002420.0
4.1686,4.2174,4.0956,4.12,130775718.0
4.0061,4.0061,3.8848,3.9174,100974405.0
3.909,3.9818,3.8684,3.9818,139201793.0
3.9818,4.0468,3.8848,3.909,105292982.0
3.8603,3.9010000000000002,3.7635,3.779,149268222.0
3.6984,3.8279,3.6575,3.8116,216650466.0
3.909,3.9739,3.8684,3.9413,147062762.0
3.9576,4.0061,3.9413,3.9818,108158118.0
4.0224,4.0389,3.909,3.9252,94338205.0
3.9010000000000002,3.9739,3.8848,3.9413,83924351.0
3.9657,4.16,3.9413,4.1444,169231793.0
4.4684,4.4847,4.3142,4.3469,404495719.0
4.3307,4.4118,4.3064,4.4037,131712435.0
4.3875,4.4037,4.3142,4.3469,109921610.0
4.3225,4.42,4.2983,4.3793,128460306.0
4.3793,4.4604,4.3793,4.4361,94388779.0
4.4361,4.4442,4.3632,4.3632,82747954.0
4.3553,4.4604,4.3387,4.4604,113848798.0
4.4361,4.5578,4.4281,4.5496,179597265.0
4.5173,4.7038,4.4768,4.6715,172424548.0
4.6878,4.7038,4.5337,4.5496,126377975.0
4.5496,4.5903,4.4684,4.4768,100075068.0
4.4847,4.5658,4.4684,4.5496,87273229.0
4.5496,4.5496,4.4927,4.5249,55844753.0
