OILOpen,OILHigh,OILLow,OILClose,OILVolume
17.7,17.74,17.41,17.44,56028
17.38,17.65,17.35,17.48,78103
17.53,17.77,17.49,17.72,94002
17.85,18.02,17.62,17.67,123644
17.58,17.64,17.39,17.4,62223
17.38,17.5,17.27,17.37,74788
17.46,17.75,17.43,17.72,129747
17.62,17.68,17.52,17.64,83514
17.48,17.6,17.36,17.46,92043
17.41,17.8,17.39,17.78,105099
17.82,18.24,17.82,18.22,141012
18.26,18.53,18.18,18.51,169968
18.38,18.5,18.3,18.36,138369
18.26,18.52,18.21,18.42,112717
18.39,18.46,18.09,18.1,83845
18.08,18.55,18.06,18.39,104386
18.52,18.65,18.15,18.39,139352
18.26,18.47,18.2,18.24,62926
18.07,18.14,17.83,17.95,113633
18.86,18.92,18.35,18.59,112322
18.48,18.61,18.42,18.46,71841
18.39,18.51,18.25,18.3,88629
18.31,18.38,18.21,18.24,87249
18.25,18.52,18.25,18.46,85277
18.3,18.34,18.0,18.18,99713
18.17,18.37,18.17,18.27,98559
18.41,18.52,18.3,18.34,125918
18.29,18.49,18.24,18.46,84285
18.47,18.8,18.47,18.73,115891
18.59,18.68,18.56,18.64,56476
18.54,18.73,18.54,18.63,53401
18.53,18.6,18.41,18.43,67744
18.43,18.7,18.43,18.69,56765
18.71,18.78,18.65,18.66,44650
18.55,18.62,18.47,18.49,55035
18.51,18.58,18.3,18.32,79617
18.32,18.39,18.22,18.35,93940
18.39,18.65,18.38,18.63,73761
18.58,18.69,18.53,18.59,66343
18.51,18.68,18.43,18.63,75645
18.58,18.63,18.24,18.33,128150
18.34,18.37,17.95,18.02,150870
17.89,18.04,17.83,17.91,109384
17.88,18.21,17.88,18.19,96104
18.15,18.2,17.84,17.94,111611
17.9,18.14,17.9,18.1,90025
18.13,18.29,18.09,18.13,98830
18.15,18.25,18.05,18.21,86589
18.29,18.53,18.29,18.47,127762
18.41,18.46,18.32,18.41,64672
18.5,18.97,18.5,18.96,153222
18.86,19.0,18.8,18.92,87836
18.93,18.98,18.67,18.78,107999
18.81,19.14,18.8,19.07,94079
19.05,19.1,18.9,19.05,62189
18.85,19.31,18.85,19.22,125529
19.15,19.27,19.06,19.15,79784
19.13,19.35,19.03,19.17,81294
19.11,19.16,18.9,19.03,61348
19.09,19.23,19.05,19.18,75148
19.24,19.58,19.24,19.56,141090
19.52,19.79,19.41,19.77,122264
19.72,19.77,19.5,19.67,99091
19.54,19.65,19.4,19.59,81827
19.7,19.83,19.62,19.76,119162
19.92,19.95,19.38,19.43,166497
19.27,19.3,18.96,19.06,157069
19.47,19.95,19.47,19.67,149443
19.75,19.92,19.66,19.9,131945
19.93,20.1,19.75,20.03,133882
20.15,20.42,20.11,20.19,120656
20.0,20.45,19.83,20.41,103623
20.32,20.38,20.0,20.12,100394
20.03,20.38,19.97,20.29,89322
20.13,20.28,20.08,20.15,68701
20.25,20.45,20.23,20.43,107424
20.37,20.5,20.14,20.38,123095
