ShanghaiOpen,ShanghaiHigh,ShanghaiLow,ShanghaiClose
639.88,639.88,639.88,639.88
653.81,653.81,653.81,653.81
646.89,646.89,646.89,646.89
640.76,640.76,640.76,640.76
626.0,626.0,626.0,626.0
610.3,610.3,610.3,610.3
613.13,613.13,613.13,613.13
602.12,602.12,602.12,602.12
597.84,597.84,597.84,597.84
588.81,588.81,588.81,588.81
587.94,587.94,587.94,587.94
593.64,593.64,593.64,593.64
571.72,571.72,571.72,571.72
571.24,571.24,571.24,571.24
553.44,553.44,553.44,553.44
547.57,547.57,547.57,547.57
555.77,555.77,555.77,555.77
553.11,553.11,553.11,553.11
562.59,562.59,562.59,562.59
533.72,533.72,533.72,533.72
532.49,532.49,532.49,532.49
533.75,533.75,533.75,533.75
553.36,553.36,553.36,553.36
541.38,541.38,541.38,541.38
548.84,548.84,548.84,548.84
548.11,548.11,548.11,548.11
542.84,542.84,542.84,542.84
538.37,538.37,538.37,538.37
533.76,533.76,533.76,533.76
541.14,541.14,541.14,541.14
594.64,594.64,594.64,594.64
589.13,589.13,589.13,589.13
558.43,558.43,558.43,558.43
561.27,561.27,561.27,561.27
549.26,549.26,549.26,549.26
556.96,556.96,556.96,556.96
560.85,560.85,560.85,560.85
577.22,577.22,577.22,577.22
616.3,616.3,616.3,616.3
632.96,632.96,632.96,632.96
620.81,620.81,620.81,620.81
605.59,605.59,605.59,605.59
586.29,586.29,586.29,586.29
586.23,586.23,586.23,586.23
588.24,588.24,588.24,588.24
572.6,572.6,572.6,572.6
579.88,579.88,579.88,579.88
593.52,593.52,593.52,593.52
585.45,585.45,585.45,585.45
591.95,591.95,591.95,591.95
613.7,613.7,613.7,613.7
611.13,611.13,611.13,611.13
611.77,611.77,611.77,611.77
629.36,629.36,629.36,629.36
626.55,626.55,626.55,626.55
637.15,637.15,637.15,637.15
630.93,630.93,630.93,630.93
646.92,646.92,646.92,646.92
656.88,656.88,656.88,656.88
660.16,660.16,660.16,660.16
649.7,649.7,649.7,649.7
659.06,659.06,659.06,659.06
673.72,673.72,673.72,673.72
667.39,667.39,667.39,667.39
641.08,641.08,641.08,641.08
644.74,644.74,644.74,644.74
632.76,632.76,632.76,632.76
631.26,631.26,631.26,631.26
625.52,625.52,625.52,625.52
631.51,631.51,631.51,631.51
645.2,645.2,645.2,645.2
635.99,635.99,635.99,635.99
619.73,619.73,619.73,619.73
619.84,619.84,619.84,619.84
601.83,601.83,601.83,601.83
573.31,573.31,573.31,573.31
579.93,579.93,579.93,579.93
580.61,580.61,580.61,580.61
580.38,580.38,580.38,580.38
571.2,571.2,571.2,571.2
574.17,574.17,574.17,574.17
571.51,571.51,571.51,571.51
578.5,578.5,578.5,578.5
565.14,565.14,565.14,565.14
568.06,568.06,568.06,568.06
584.84,584.84,584.84,584.84
582.04,582.04,582.04,582.04
578.85,578.85,578.85,578.85
582.89,582.89,582.89,582.89
763.51,763.51,763.51,763.51
855.81,855.81,855.81,855.81
897.42,897.42,897.42,897.42
750.3,750.3,750.3,750.3
741.93,741.93,741.93,741.93
696.85,696.85,696.85,696.85
727.62,727.62,727.62,727.62
711.0,711.0,711.0,711.0
700.51,700.51,700.51,700.51
708.67,708.67,708.67,708.67
716.82,716.82,716.82,716.82
691.64,691.64,691.64,691.64
689.13,689.13,689.13,689.13
716.45,716.45,716.45,716.45
695.93,695.93,695.93,695.93
702.62,702.62,702.62,702.62
698.72,698.72,698.72,698.72
698.95,698.95,698.95,698.95
689.22,689.22,689.22,689.22
646.85,646.85,646.85,646.85
646.54,646.54,646.54,646.54
638.96,638.96,638.96,638.96
640.66,640.66,640.66,640.66
651.81,651.81,651.81,651.81
644.47,644.47,644.47,644.47
650.14,650.14,650.14,650.14
653.4,653.4,653.4,653.4
649.93,649.93,649.93,649.93
647.64,647.64,647.64,647.64
643.92,643.92,643.92,643.92
630.58,630.58,630.58,630.58
636.03,636.03,636.03,636.03
637.77,637.77,637.77,637.77
666.78,666.78,666.78,666.78
666.24,666.24,666.24,666.24
649.19,649.19,649.19,649.19
648.91,648.91,648.91,648.91
656.31,656.31,656.31,656.31
652.8,652.8,652.8,652.8
695.45,695.45,695.45,695.45
715.47,715.47,715.47,715.47
690.98,690.98,690.98,690.98
690.3,690.3,690.3,690.3
693.56,693.56,693.56,693.56
709.92,709.92,709.92,709.92
703.58,703.58,703.58,703.58
691.12,691.12,691.12,691.12
697.72,697.72,697.72,697.72
695.42,695.42,695.42,695.42
695.55,695.55,695.55,695.55
715.4,715.4,715.4,715.4
699.99,699.99,699.99,699.99
703.44,703.44,703.44,703.44
709.88,709.88,709.88,709.88
718.08,718.08,718.08,718.08
712.53,712.53,712.53,712.53
717.46,717.46,717.46,717.46
735.15,735.15,735.15,735.15
744.99,744.99,744.99,744.99
776.13,776.13,776.13,776.13
751.48,751.48,751.48,751.48
767.66,767.66,767.66,767.66
769.45,769.45,769.45,769.45
757.43,757.43,757.43,757.43
739.06,739.06,739.06,739.06
739.86,739.86,739.86,739.86
729.89,729.89,729.89,729.89
733.85,733.85,733.85,733.85
727.58,727.58,727.58,727.58
725.62,725.62,725.62,725.62
722.08,722.08,722.08,722.08
715.73,715.73,715.73,715.73
723.87,723.87,723.87,723.87
728.84,728.84,728.84,728.84
739.53,739.53,739.53,739.53
753.75,753.75,753.75,753.75
753.84,753.84,753.84,753.84
751.08,751.08,751.08,751.08
775.45,775.45,775.45,775.45
763.69,763.69,763.69,763.69
763.18,763.18,763.18,763.18
758.13,758.13,758.13,758.13
755.93,755.93,755.93,755.93
757.4,757.4,757.4,757.4
736.74,736.74,736.74,736.74
726.14,726.14,726.14,726.14
731.17,731.17,731.17,731.17
730.01,730.01,730.01,730.01
723.35,723.35,723.35,723.35
728.86,728.86,728.86,728.86
708.46,708.46,708.46,708.46
711.19,711.19,711.19,711.19
722.43,722.43,722.43,722.43
717.79,717.79,717.79,717.79
724.88,724.88,724.88,724.88
719.96,719.96,719.96,719.96
706.29,706.29,706.29,706.29
708.63,708.63,708.63,708.63
710.89,710.89,710.89,710.89
704.4,704.4,704.4,704.4
702.98,702.98,702.98,702.98
701.34,701.34,701.34,701.34
702.4,702.4,702.4,702.4
716.83,716.83,716.83,716.83
702.79,702.79,702.79,702.79
726.29,726.29,726.29,726.29
723.09,723.09,723.09,723.09
723.57,723.57,723.57,723.57
760.41,760.41,760.41,760.41
731.47,731.47,731.47,731.47
722.37,722.37,722.37,722.37
722.78,722.78,722.78,722.78
717.32,717.32,717.32,717.32
723.39,723.39,723.39,723.39
721.7,721.7,721.7,721.7
727.79,727.79,727.79,727.79
736.15,736.15,736.15,736.15
729.69,729.69,729.69,729.69
711.61,711.61,711.61,711.61
711.2,711.2,711.2,711.2
708.76,708.76,708.76,708.76
688.7,688.7,688.7,688.7
688.87,688.87,688.87,688.87
692.2,692.2,692.2,692.2
682.44,682.44,682.44,682.44
676.19,676.19,676.19,676.19
674.74,674.74,674.74,674.74
678.42,678.42,678.42,678.42
663.32,663.32,663.32,663.32
645.03,645.03,645.03,645.03
652.57,652.57,652.57,652.57
641.59,641.59,641.59,641.59
641.14,641.14,641.14,641.14
633.81,633.81,633.81,633.81
634.92,634.92,634.92,634.92
637.22,637.22,637.22,637.22
628.43,628.43,628.43,628.43
631.84,631.84,631.84,631.84
636.78,636.78,636.78,636.78
619.26,619.26,619.26,619.26
629.45,629.45,629.45,629.45
613.8,613.8,613.8,613.8
614.75,614.75,614.75,614.75
603.89,603.89,603.89,603.89
592.14,592.14,592.14,592.14
592.06,592.06,592.06,592.06
601.04,601.04,601.04,601.04
597.43,597.43,597.43,597.43
594.24,594.24,594.24,594.24
572.22,572.22,572.22,572.22
570.4,570.4,570.4,570.4
556.82,556.82,556.82,556.82
555.29,555.29,555.29,555.29
537.87,537.87,537.87,537.87
542.42,542.42,542.42,542.42
558.76,558.76,558.76,558.76
536.37,536.37,536.37,536.37
558.62,558.62,558.62,558.62
547.62,547.62,547.62,547.62
545.64,545.64,545.64,545.64
547.11,547.11,547.11,547.11
551.04,551.04,551.04,551.04
547.76,547.76,547.76,547.76
537.31,537.31,537.31,537.31
517.63,517.63,517.63,517.63
523.51,523.51,523.51,523.51
516.46,516.46,516.46,516.46
519.6,519.6,519.6,519.6
522.63,522.63,522.63,522.63
521.37,521.37,521.37,521.37
525.57,525.57,525.57,525.57
529.14,529.14,529.14,529.14
532.57,532.57,532.57,532.57
537.35,537.35,537.35,537.35
536.68,536.68,536.68,536.68
536.04,536.04,536.04,536.04
522.85,522.85,522.85,522.85
520.69,520.69,520.69,520.69
524.3,524.3,524.3,524.3
521.86,521.86,521.86,521.86
525.41,525.41,525.41,525.41
525.77,525.77,525.77,525.77
529.58,529.58,529.58,529.58
529.25,529.25,529.25,529.25
536.98,536.98,536.98,536.98
552.94,552.94,552.94,552.94
601.98,601.98,601.98,601.98
587.06,587.06,587.06,587.06
559.7,559.7,559.7,559.7
573.13,573.13,573.13,573.13
568.12,568.12,568.12,568.12
563.88,563.88,563.88,563.88
563.2,563.2,563.2,563.2
562.3,562.3,562.3,562.3
562.39,562.39,562.39,562.39
567.87,567.87,567.87,567.87
566.55,566.55,566.55,566.55
569.67,569.67,569.67,569.67
569.76,569.76,569.76,569.76
570.18,570.18,570.18,570.18
570.24,570.24,570.24,570.24
563.52,563.52,563.52,563.52
562.35,562.35,562.35,562.35
554.04,554.04,554.04,554.04
556.39,556.39,556.39,556.39
566.19,566.19,566.19,566.19
557.21,557.21,557.21,557.21
560.98,560.98,560.98,560.98
563.19,563.19,563.19,563.19
581.38,581.38,581.38,581.38
578.07,578.07,578.07,578.07
579.82,579.82,579.82,579.82
583.38,583.38,583.38,583.38
586.96,586.96,586.96,586.96
584.67,584.67,584.67,584.67
590.85,590.85,590.85,590.85
593.38,593.38,593.38,593.38
600.28,600.28,600.28,600.28
618.12,618.12,618.12,618.12
613.97,613.97,613.97,613.97
623.77,623.77,623.77,623.77
664.65,664.65,664.65,664.65
652.67,652.67,652.67,652.67
707.61,707.61,707.61,707.61
738.62,738.62,738.62,738.62
681.16,681.16,681.16,681.16
654.43,654.43,654.43,654.43
650.04,650.04,650.04,650.04
671.28,671.28,671.28,671.28
661.16,661.16,661.16,661.16
661.27,661.27,661.27,661.27
656.9,656.9,656.9,656.9
661.47,661.47,661.47,661.47
666.11,666.11,666.11,666.11
665.42,665.42,665.42,665.42
682.05,682.05,682.05,682.05
683.08,683.08,683.08,683.08
711.93,711.93,711.93,711.93
703.08,703.08,703.08,703.08
661.85,661.85,661.85,661.85
668.62,668.62,668.62,668.62
642.67,642.67,642.67,642.67
639.8,639.8,639.8,639.8
646.91,646.91,646.91,646.91
650.56,650.56,650.56,650.56
636.36,636.36,636.36,636.36
643.65,643.65,643.65,643.65
641.09,641.09,641.09,641.09
651.51,651.51,651.51,651.51
696.97,696.97,696.97,696.97
702.64,702.64,702.64,702.64
727.34,727.34,727.34,727.34
764.39,764.39,764.39,764.39
752.26,752.26,752.26,752.26
755.77,755.77,755.77,755.77
768.68,768.68,768.68,768.68
777.28,777.28,777.28,777.28
752.0,752.0,752.0,752.0
793.56,793.56,793.56,793.56
796.91,796.91,796.91,796.91
793.59,793.59,793.59,793.59
796.11,796.11,796.11,796.11
793.34,793.34,793.34,793.34
780.65,780.65,780.65,780.65
801.46,801.46,801.46,801.46
806.46,806.46,806.46,806.46
804.25,804.25,804.25,804.25
761.12,761.12,761.12,761.12
759.71,759.71,759.71,759.71
786.13,786.13,786.13,786.13
807.34,807.34,807.34,807.34
817.61,817.61,817.61,817.61
820.05,820.05,820.05,820.05
792.07,792.07,792.07,792.07
796.41,796.41,796.41,796.41
789.16,789.16,789.16,789.16
823.08,823.08,823.08,823.08
808.99,808.99,808.99,808.99
818.04,818.04,818.04,818.04
856.93,856.93,856.93,856.93
884.94,884.94,884.94,884.94
871.47,871.47,871.47,871.47
887.6,887.6,887.6,887.6
868.16,868.16,868.16,868.16
845.12,845.12,845.12,845.12
855.42,855.42,855.42,855.42
836.93,836.93,836.93,836.93
822.48,822.48,822.48,822.48
835.11,835.11,835.11,835.11
838.88,838.88,838.88,838.88
853.19,853.19,853.19,853.19
862.22,862.22,862.22,862.22
867.27,867.27,867.27,867.27
876.0,876.0,876.0,876.0
871.6,871.6,871.6,871.6
886.05,886.05,886.05,886.05
874.81,874.81,874.81,874.81
871.65,871.65,871.65,871.65
865.83,865.83,865.83,865.83
853.87,853.87,853.87,853.87
835.62,835.62,835.62,835.62
822.44,822.44,822.44,822.44
833.61,833.61,833.61,833.61
818.2,818.2,818.2,818.2
803.69,803.69,803.69,803.69
773.07,773.07,773.07,773.07
787.47,787.47,787.47,787.47
796.84,796.84,796.84,796.84
788.73,788.73,788.73,788.73
809.94,809.94,809.94,809.94
800.22,800.22,800.22,800.22
812.02,812.02,812.02,812.02
814.38,814.38,814.38,814.38
801.23,801.23,801.23,801.23
793.59,793.59,793.59,793.59
764.45,764.45,764.45,764.45
769.25,769.25,769.25,769.25
757.09,757.09,757.09,757.09
779.07,779.07,779.07,779.07
778.29,778.29,778.29,778.29
776.48,776.48,776.48,776.48
760.76,760.76,760.76,760.76
769.1,769.1,769.1,769.1
805.54,805.54,805.54,805.54
851.99,851.99,851.99,851.99
849.92,849.92,849.92,849.92
835.18,835.18,835.18,835.18
854.66,854.66,854.66,854.66
875.53,875.53,875.53,875.53
865.49,865.49,865.49,865.49
863.46,863.46,863.46,863.46
864.66,864.66,864.66,864.66
877.61,877.61,877.61,877.61
